ID_product	Product	ID	index	CHEBI.Label	CHEBI.ID	Concentration	unit	value
		ID		I 'active ingredient in'	TYPE			I 'has concentration value'
PESTON:0107172	GUANIDOL F	PESTON:0700136	136	(S)-fenarimol	CHEBI:83689	4	%	4
PESTON:0107120	FEDIUM D	PESTON:0700137	137	(S)-fenarimol	CHEBI:83689			
PESTON:0108065	IMPACT RAME	PESTON:0700138	138	(S)-flutriafol	CHEBI:83709	1	%	1
PESTON:0108096	GRALIT MAX EW	PESTON:0700139	139	(S)-mefenpyr-diethyl	CHEBI:133785	1	%	1
PESTON:0108743	GREENEX	PESTON:0700140	140	(S)-mefenpyr-diethyl	CHEBI:133785	1.8	%	1.8
PESTON:0114262	GREENEX NF	PESTON:0700141	141	(S)-mefenpyr-diethyl	CHEBI:133785	1.8	%	1.8
PESTON:0108553	PROPER ENERGY SH	PESTON:0700142	142	(S)-mefenpyr-diethyl	CHEBI:133785	2.8	%	2.8
PESTON:0108535	GRALIT MAX	PESTON:0700143	143	(S)-mefenpyr-diethyl	CHEBI:133785	2.9	%	2.9
PESTON:0112729	BLENET	PESTON:0700144	144	(S)-mefenpyr-diethyl	CHEBI:133785	3	%	3
PESTON:0114395	RALON SUPER	PESTON:0700145	145	(S)-mefenpyr-diethyl	CHEBI:133785	7.1	%	7.1
PESTON:0108550	PROPER ENERGY	PESTON:0700146	146	(S)-mefenpyr-diethyl	CHEBI:133785	30	%	30
PESTON:0109711	LISTEN S	PESTON:0700147	147	(S)-mefenpyr-diethyl	CHEBI:133785	40	%	40
PESTON:0109822	BLEDOR	PESTON:0700148	148	(S)-mefenpyr-diethyl	CHEBI:133785	40	%	40
PESTON:0108098	PROPER ENERGY EW	PESTON:0700149	149	(S)-mefenpyr-diethyl	CHEBI:133785	15.0 /l	%	15
PESTON:0109710	PROPER ENERGY 120 EC	PESTON:0700150	150	(S)-mefenpyr-diethyl	CHEBI:133785	33.0 /l	%	33
PESTON:0108551	PROPER ENERGY 75 EW	PESTON:0700151	151	(S)-mefenpyr-diethyl	CHEBI:133785	75.0 /l	%	75
PESTON:0112037	CAMIX	PESTON:0700152	152	(S)-metolachlor	CHEBI:83647	5.6	%	5.6
PESTON:0115088	CLARIDO	PESTON:0700153	153	(S)-metolachlor	CHEBI:83647	5.6	%	5.6
PESTON:0115089	MARKER  DUO	PESTON:0700154	154	(S)-metolachlor	CHEBI:83647	5.6	%	5.6
PESTON:0112482	LUMAX	PESTON:0700155	155	(S)-metolachlor	CHEBI:83647	16.9	%	16.9
PESTON:0114222	LEXAR	PESTON:0700156	156	(S)-metolachlor	CHEBI:83647	16.9	%	16.9
PESTON:0110735	PRIMAGRAM GOLD	PESTON:0700157	157	(S)-metolachlor	CHEBI:83647	28.9	%	28.9
PESTON:0111449	GARDOPRIM GOLD	PESTON:0700158	158	(S)-metolachlor	CHEBI:83647	28.9	%	28.9
PESTON:0113155	PRIMEXTRA GOLD	PESTON:0700159	159	(S)-metolachlor	CHEBI:83647	28.9	%	28.9
PESTON:0110735	PRIMAGRAM GOLD	PESTON:0700160	160	(S)-metolachlor OXA	CHEBI:83655	17.4	%	17.4
PESTON:0111449	GARDOPRIM GOLD	PESTON:0700161	161	(S)-metolachlor OXA	CHEBI:83655	17.4	%	17.4
PESTON:0113155	PRIMEXTRA GOLD	PESTON:0700162	162	(S)-metolachlor OXA	CHEBI:83655	17.4	%	17.4
PESTON:0112482	LUMAX	PESTON:0700163	163	(S)-metolachlor OXA	CHEBI:83655	28.2	%	28.2
PESTON:0114222	LEXAR	PESTON:0700164	164	(S)-metolachlor OXA	CHEBI:83655	28.2	%	28.2
PESTON:0112037	CAMIX	PESTON:0700165	165	(S)-metolachlor OXA	CHEBI:83655	46.5	%	46.5
PESTON:0115088	CLARIDO	PESTON:0700166	166	(S)-metolachlor OXA	CHEBI:83655	46.5	%	46.5
PESTON:0115089	MARKER  DUO	PESTON:0700167	167	(S)-metolachlor OXA	CHEBI:83655	46.5	%	46.5
PESTON:0110734	DUAL GOLD	PESTON:0700168	168	(S)-metolachlor OXA	CHEBI:83655	86.5	%	86.5
PESTON:0111447	LECAR GOLD	PESTON:0700169	169	(S)-metolachlor OXA	CHEBI:83655	86.5	%	86.5
PESTON:0113455	ANTIGRAM GOLD	PESTON:0700170	170	(S)-metolachlor OXA	CHEBI:83655	86.5	%	86.5
PESTON:0117146	EFICA 960 EC	PESTON:0700171	171	(S)-metolachlor OXA	CHEBI:83655	86.5	%	86.5
PESTON:0101121	PRIMATOL 3588	PESTON:0700172	172	(S)-secbumeton	CHEBI:83788	24	%	24
PESTON:0105424	FUNGILON D+BAYLETON	PESTON:0700173	173	(S)-triadimefon	CHEBI:84004			
PESTON:0107265	MATACAR COMBI	PESTON:0700174	174	(S,S)-hexythiazox	CHEBI:39328	20	%	20
PESTON:0112830	CHECKMATE SF-XL	PESTON:0700175	175	(Z)-4-Hexenal	CHEBI:173333	0.8	%	0.8
PESTON:0115415	ISOMATE C LR PLUS	PESTON:0700176	176	(Z)-4-Hexenal	CHEBI:173333	6	%	6
PESTON:0115992	ISOMATE C LR MAX	PESTON:0700177	177	(Z)-4-Hexenal	CHEBI:173333	57	%	57
PESTON:0116378	ISOMATE C LR MAX 2015	PESTON:0700178	178	(Z)-4-Hexenal	CHEBI:173333	57	%	57
PESTON:0116730	ISOMATE C LR MAX 2016	PESTON:0700179	179	(Z)-4-Hexenal	CHEBI:173333	57	%	57
PESTON:0112839	ECODIAN STAR	PESTON:0700180	180	(Z)-4-Hexenal	CHEBI:173333	0.00%	%	0
PESTON:0115998	ADIVENIR DUO	PESTON:0700181	181	(Z)-4-Hexenal	CHEBI:173333	0.00%	%	0
PESTON:0113085	ECODIAN COMBI	PESTON:0700182	182	(Z)-4-Hexenal	CHEBI:173333	0.10%	%	0.1
PESTON:0114709	ISOMATE A/OFM	PESTON:0700183	183	(Z)-4-Hexenal	CHEBI:173333	10.7 m	%	10.7
PESTON:0111558	RAK 3+4	PESTON:0700184	184	(Z)-4-Hexenal	CHEBI:173333	140.0 m	mg	140
PESTON:0112833	ISOMATE C/OFM	PESTON:0700185	185	(Z)-4-Hexenal	CHEBI:173333	29.8 m	%	29.8
PESTON:0116774	ISOMATE C LR MAX TT	PESTON:0700186	186	(Z)-4-Hexenal	CHEBI:173333	5.70%	%	5.7
PESTON:0111550	ISOMATE C LR	PESTON:0700187	187	(Z)-4-Hexenal	CHEBI:173333	6.0 m	%	6
PESTON:0117226	CHECKMATE PUFFER FRUIT MULTI	PESTON:0700188	188	(Z)-4-Hexenal	CHEBI:173333			
PESTON:0116122	PHOENIMATE C+	PESTON:0700189	189	(Z)-Tamarindienal	CHEBI:178341	0	%	0
PESTON:0112830	CHECKMATE SF-XL	PESTON:0700190	190	(Z)-Tamarindienal	CHEBI:178341	11.9	%	11.9
PESTON:0115415	ISOMATE C LR PLUS	PESTON:0700191	191	(Z)-Tamarindienal	CHEBI:178341	39	%	39
PESTON:0115992	ISOMATE C LR MAX	PESTON:0700192	192	(Z)-Tamarindienal	CHEBI:178341	385	g	385
PESTON:0116378	ISOMATE C LR MAX 2015	PESTON:0700193	193	(Z)-Tamarindienal	CHEBI:178341	385	g	385
PESTON:0116730	ISOMATE C LR MAX 2016	PESTON:0700194	194	(Z)-Tamarindienal	CHEBI:178341	385	g	385
