ID of ingredient concentration	index	ID of product (if we want to link to it)	ID of active ingredient instance	type	Concentration	value	unit
ID			I 'is about'	TYPE		I 'has value'	I 'has unit'
PESTON:0912251	12251	PESTON:0110672	PESTON:0712251	ingredient concentration	41	41	UOM:%25
PESTON:0912252	12252	PESTON:0114607	PESTON:0712252	ingredient concentration	41.9	41.9	UOM:%25
PESTON:0912253	12253	PESTON:0108200	PESTON:0712253	ingredient concentration	42	42	UOM:%25
PESTON:0912254	12254	PESTON:0108508	PESTON:0712254	ingredient concentration	42	42	UOM:%25
PESTON:0912255	12255	PESTON:0108767	PESTON:0712255	ingredient concentration	42	42	UOM:%25
PESTON:0912256	12256	PESTON:0115712	PESTON:0712256	ingredient concentration	42.1	42.1	UOM:%25
PESTON:0912257	12257	PESTON:0116064	PESTON:0712257	ingredient concentration	43.9	43.9	UOM:%25
PESTON:0912258	12258	PESTON:0116488	PESTON:0712258	ingredient concentration	43.9	43.9	UOM:%25
PESTON:0912259	12259	PESTON:0116890	PESTON:0712259	ingredient concentration	43.9	43.9	UOM:%25
PESTON:0912260	12260	PESTON:0108304	PESTON:0712260	ingredient concentration	52	52	UOM:%25
PESTON:0912261	12261	PESTON:0108307	PESTON:0712261	ingredient concentration	57	57	UOM:%25
PESTON:0912262	12262	PESTON:0110465	PESTON:0712262	ingredient concentration	68	68	UOM:%25
PESTON:0912263	12263	PESTON:0112972	PESTON:0712263	ingredient concentration	68	68	UOM:%25
PESTON:0912264	12264	PESTON:0108158	PESTON:0712264	ingredient concentration	72	72	UOM:%25
PESTON:0912265	12265	PESTON:0110405	PESTON:0712265	ingredient concentration	72	72	UOM:%25
PESTON:0912266	12266	PESTON:0111898	PESTON:0712266	ingredient concentration	72	72	UOM:%25
PESTON:0912267	12267	PESTON:0115838	PESTON:0712267	ingredient concentration	72	72	UOM:%25
PESTON:0912268	12268	PESTON:0108236	PESTON:0712268	ingredient concentration	80	80	UOM:%25
PESTON:0912269	12269	PESTON:0110069	PESTON:0712269	ingredient concentration	80	80	UOM:%25
PESTON:0912270	12270	PESTON:0110978	PESTON:0712270	ingredient concentration	10.0 /l	10	UOM:%25
PESTON:0912271	12271	PESTON:0109484	PESTON:0712294	ingredient concentration	241.0 /l	241	UOM:g.L1
PESTON:0912272	12272	PESTON:0116891	PESTON:0712841	ingredient concentration	28.3 %	28.3	UOM:%25
PESTON:0912273	12273	PESTON:0111250	PESTON:0712273	ingredient concentration	350.0 /l	350	UOM:g.L1
PESTON:0912274	12274	PESTON:0107394	PESTON:0712274	ingredient concentration	360.0 /l	360	UOM:g.L1
PESTON:0912275	12275	PESTON:0110899	PESTON:0712275	ingredient concentration	360.0 /l	360	UOM:g.L1
PESTON:0912276	12276	PESTON:0111118	PESTON:0712276	ingredient concentration	360.0 /l	360	UOM:g.L1
PESTON:0912277	12277	PESTON:0111321	PESTON:0712277	ingredient concentration	360.0 /l	360	UOM:g.L1
PESTON:0912278	12278	PESTON:0111691	PESTON:0712278	ingredient concentration	360.0 /l	360	UOM:g.L1
PESTON:0912279	12279	PESTON:0109057	PESTON:0712279	ingredient concentration	410.0 /l	410	UOM:g.L1
PESTON:0912280	12280	PESTON:0109868	PESTON:0712280	ingredient concentration	410.0 /l	410	UOM:g.L1
PESTON:0912281	12281	PESTON:0110960	PESTON:0712281	ingredient concentration	480.0 /l	480	UOM:g.L1
PESTON:0912282	12282	PESTON:0116487	PESTON:0712282	ingredient concentration	7.0 /l	7	UOM:%25
PESTON:0912283	12283	PESTON:0116833	PESTON:0712283	ingredient concentration			
PESTON:0912284	12284	PESTON:0116991	PESTON:0712284	ingredient concentration			
